room_number,qr,measured_temp,issue_heating,issue_motion,issue_temperature_sensor,issue_door,issue_window,issue_heating_switch,issue_kitchen_switch,issue_wifi,problem_description,solution,short_uuid,mac_address,timestamp,last_motion_time,last_motion_state,voltage_state,temp,broker_connection
907,810EDB,24.9,,Nie wykrywa ruchu,,,"Nie dzia³a, close ca³y czas ",,,,,,"810-EDB
",02:42:AC:12:00:02,10-09-2023_10-32-52,10-09-2023 08:40:53,1,DETECT,26.375,NOT CONNECTED
908,139F09,25.3,,,,,Nie dzia³a ca³y czas pokazuje Close ,,Nie dzia³a poprawnie nie s³ychaæ pstrykania ,,,,"139-F09
",02:42:AC:12:00:03,06-09-2023_10-35-54,06-09-2023 10:35:36,0,DETECT,26.0,NOT CONNECTED
908,139F09,25.0,,,,,"Nie dzia³a, close ca³y czas ",,"Nie dzia³a kuchenka, nie ma pstrykniêcia",,,,"139-F09
",02:42:AC:12:00:02,10-09-2023_10-40-15,10-09-2023 10:40:08,0,DETECT,25.8125,NOT CONNECTED
908,139F09,23.2,,,,,,,,,,,"139-F09
",02:42:AC:12:00:02,25-09-2023_16-30-31,25-09-2023 16:30:25,0,DETECT,24.0,NOT CONNECTED
909,A3453D,23.7,,,,,,,,,,,"A34-53D
",02:42:AC:12:00:03,06-09-2023_10-41-05,06-09-2023 10:41:02,0,DETECT,25.4375,NOT CONNECTED
909,A3453D,23.7,,,,,,,,,,,"A34-53D
",02:42:AC:12:00:02,10-09-2023_10-43-37,10-09-2023 10:43:29,0,DETECT,25.5625,NOT CONNECTED
911,45F7E76,22.8,,,,,,,,,,,"45F-7E6
",02:42:AC:12:00:03,06-09-2023_10-44-59,06-09-2023 10:44:42,0,DETECT,24.125,NOT CONNECTED
911,45F7E6,22.8,,,,,,,,,,,"45F-7E6
",02:42:AC:12:00:02,10-09-2023_10-48-36,10-09-2023 10:48:35,0,DETECT,25.1875,NOT CONNECTED
102,135692,23.6,,,,,,,,,,,"135-692
",02:42:AC:12:00:03,06-09-2023_14-48-23,06-09-2023 14:48:16,0,DETECT,23.4375,NOT CONNECTED
101b,05145F,24.6,,,,,,,,,,,"051-45F
",02:42:AC:12:00:03,06-09-2023_14-55-55,05-09-2023 18:10:00,0,DETECT,26.625,NOT CONNECTED
101C,405C1F,24.5,,,,,,,,,,,"405-C1F
",02:42:AC:12:00:02,06-09-2023_14-58-28,06-09-2023 14:57:49,0,DETECT,27.0,NOT CONNECTED
101D,1E5D15,23.2,,Nie ma jak dzia³aæ poprawnie przez umiejscowienie (zdj),,,,,,,,,"1E5-D15
",02:42:AC:12:00:03,06-09-2023_15-01-39,06-09-2023 15:00:48,0,DETECT,25.5625,NOT CONNECTED
103,188B29,23.1,,,,,,,,,,,"188-B29
",02:42:AC:12:00:03,06-09-2023_15-09-48,06-09-2023 15:09:35,0,DETECT,23.25,NOT CONNECTED
106,6A10BC,22.8,,,,,,,,,,,"6A1-0BC
",02:42:AC:12:00:03,06-09-2023_15-16-49,06-09-2023 15:16:32,0,DETECT,25.0,NOT CONNECTED
107,18F726,22.5,,,,,,,,,,,"18F-726
",02:42:AC:12:00:02,06-09-2023_15-20-24,06-09-2023 15:20:20,0,DETECT,24.4375,NOT CONNECTED
108,1D2A43,23.5,,,,,,,,,,,"1D2-A43
",02:42:AC:12:00:02,06-09-2023_15-24-13,06-09-2023 15:24:12,1,DETECT,25.375,NOT CONNECTED
109,1A4E6E,24.3,,,,,,,,,,,"1A4-E6E
",02:42:AC:12:00:03,06-09-2023_15-26-49,06-09-2023 15:26:47,0,DETECT,24.3125,NOT CONNECTED
113,6B8D40,24.6,,,,,,,,,"Po wy³¹czeniu bezpiecznika G4 (gniazdo p³yta grzewcza), na aplikacji pokazuje voltage state not detected nie dzia³a poprawnie przez to kuchenka i g³owica najprawdopodobniej wina elektryki ",,"6B8-D40
",02:42:AC:12:00:03,06-09-2023_16-03-37,06-09-2023 16:03:35,0,NOT DETECT,23.625,NOT CONNECTED
114,2B0863,24.2,,,,,,,Kuchenki nie da siê po³¹czyæ do gniazdka ,,,,"2B0-863
",02:42:AC:12:00:02,06-09-2023_16-08-03,06-09-2023 16:07:34,0,DETECT,24.9375,NOT CONNECTED
115,8A4878,23.5,,,,,,,Kuchenki nie da siê po³¹czyæ do gniazdka/nie da siê sprawdziæ ,,,,"8A4-878
",02:42:AC:12:00:02,06-09-2023_16-13-30,06-09-2023 13:05:45,0,DETECT,25.125,NOT CONNECTED
117,17EBA4,24,,,,,,,,,,,"17E-BA4
",02:42:AC:12:00:02,06-09-2023_16-19-07,06-09-2023 16:19:05,0,DETECT,25.4375,NOT CONNECTED
117,17E-BA4,24.5,,,,,,,,,Wymiana rpi+ poe,,"17E-BA4
",02:42:AC:12:00:02,29-09-2023_18-00-19,29-09-2023 17:59:57,0,DETECT,24.125,NOT CONNECTED
117,17E-BA4,24.5,,,,,,,,,Wymiana rpi+ poe,,"846-B40
",02:42:AC:12:00:03,29-09-2023_18-22-01,29-09-2023 18:21:54,0,DETECT,23.3125,NOT CONNECTED
